종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
590,CS홀딩스,KOSPI,,,116409,기타 금융업,12,,"1,154,482","5,000","5,772,410,000",원(KRW),장원영,02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동)
12030,DB,KOSPI,,,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,,"201,173,933",500,"100,586,966,500",원(KRW),"문덕식,강운식 (각자 대표이사)",02-2136-6000,서울특별시 강남구 삼성로96길 23 7층
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),,116409,기타 금융업,12,,"5,315,000",100,"531,500,000",원(KRW),김동식,02-369-3957,서울특별시 영등포구 국제금융로8길 32 
477760,DB금융스팩12호,KOSDAQ,SPAC(소속부없음),,116409,기타 금융업,12,,"5,840,000",100,"584,000,000",원(KRW),김창희,02-369-3957,서울특별시 영등포구 국제금융로8길 32 &nbsp
5830,DB손해보험,KOSPI,,,116501,보험업,12,,"70,800,000",500,"35,400,000,000",원(KRW),"김정남, 정종표",02-1588-0100,서울특별시 강남구  테헤란로 432 
16610,DB증권,KOSPI,,,116601,금융 지원 서비스업,12,,"42,446,389","5,000","212,231,945,000",원(KRW),곽봉석,02-369-3000,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩
990,DB하이텍,KOSPI,,,32601,반도체 제조업,12,,"44,398,588","5,000","221,992,940,000",원(KRW),조기석,02-3484-2888,경기도 부천시 수도로 90 (주)DB하이텍
99520,DGI,KOSDAQ,관리종목(소속부없음),,32605,영상 및 음향기기 제조업,12,,"45,281,824",500,"22,640,912,000",원(KRW),"박상열,박근식 (각자 대표이사)",02-2082-8500,서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호
60900,DGP,KOSDAQ,중견기업부,,43501,전기업,12,,"25,258,229","1,000","25,258,229,000",원(KRW),오경원,02-562-5310,전라남도 영광군 영광읍 그린테크로 23 - 
300,DH오토넥스,KOSPI,,,33003,자동차 신품 부품 제조업,12,,"81,451,691",500,"40,725,845,500",원(KRW),최준용,031-737-7000,전북특별자치도 김제시 용지면 용지로 55 김제(본사)
290120,DH오토리드,KOSDAQ,우량기업부,,33003,자동차 신품 부품 제조업,12,,"15,515,138",500,"7,757,569,000",원(KRW),이석근,063-210-3900,전라북도 완주군 봉동읍 완주산단8로 66 
25440,DH오토웨어,KOSDAQ,중견기업부,,32605,영상 및 음향기기 제조업,12,,"48,781,224",500,"24,390,612,000",원(KRW),"김진우, 지태수",02-2102-3031,"광주광역시 광산구 빛그린동로 190 1207 외 3필지 (1207, 1208, 1209, 1210) "
1530,DI동일,KOSPI,,,74601,상품 중개업,12,,"20,334,136",500,"13,740,511,500",원(KRW),"서태원, 손재선",02-2222-3071,서울특별시 강남구  테헤란로 516 정헌빌딩 8층
210,DL,KOSPI,,,32001,기초 화학물질 제조업,12,,"20,955,884","5,000","138,709,995,000",원(KRW),김종현,02-2011-7114,서울특별시 종로구 통일로 134 디타워 돈의문
375500,DL이앤씨,KOSPI,,,64102,토목 건설업,12,,"38,693,623","5,000","229,292,680,000",원(KRW),박상신,02-2011-7114,서울특별시 종로구 통일로 134 
68790,DMS,KOSDAQ,관리종목(소속부없음),,32902,특수 목적용 기계 제조업,12,,"23,687,123",500,"12,286,530,500",원(KRW),이석화,031-8031-1133,경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동)
7340,DN오토모티브,KOSPI,,,32802,일차전지 및 이차전지 제조업,12,,"58,510,865",100,"6,056,496,500",원(KRW),김상헌 김인환,055-380-5800,경상남도 양산시 산막공단북11길 103 -
4840,DRB동일,KOSPI,,,32201,고무제품 제조업,12,,"19,930,000",500,"9,965,000,000",원(KRW),류영식,051-520-9000,부산광역시 금정구 공단동로55번길 28 
241520,DSC인베스트먼트,KOSDAQ,중견기업부,,116402,신탁업 및 집합투자업,12,,"27,000,000",500,"13,905,701,500",원(KRW),윤건수,02-3453-3190,서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층
155660,DSR,KOSPI,,,32402,1차 비철금속 제조업,12,,"16,000,000",500,"8,000,000,000",원(KRW),홍석빈,02-3420-3591,부산광역시 강서구 녹산산업중로192번길 7 
69730,DSR제강,KOSPI,,,32401,1차 철강 제조업,12,,"14,400,000",500,"7,200,000,000",원(KRW),"홍하종, 홍석빈 (각자 대표이사)",061-752-0121,전라남도 순천시  서면 산단1길 15 
17860,DS단석,KOSPI,,,32004,기타 화학제품 제조업,12,,"17,584,212",500,"8,792,106,000",원(KRW),한승욱,031-488-0700,경기도 시흥시 협력로 165 
180400,DXVX,KOSDAQ,관리종목(소속부없음),,137209,기타 과학기술 서비스업,12,,"49,219,432",500,"24,609,716,000",원(KRW),"이용구, 권규찬 (각자 대표이사)",02-890-8700,"서울특별시 금천구 디지털로 173, 1003 "
92780,DYP,KOSPI,,,33001,자동차용 엔진 및 자동차 제조업,12,,"13,168,460",500,"6,584,230,000",원(KRW),홍순겸,031-489-9000,경기도 안산시 단원구 해봉로255번길 16 
17940,E1,KOSPI,,,74607,기타 전문 도매업,12,,"6,860,000","5,000","34,300,000,000",원(KRW),"구자용, 천정식 (각자 대표이사)",02-3441-4114,서울특별시 용산구 한강대로 92 LS용산타워
245620,EDGC,KOSDAQ,관리종목(소속부없음),,137001,자연과학 및 공학 연구개발업,12,,"138,493,951",100,"13,849,395,100",원(KRW),대표이사 이민섭,032-713-2100,인천광역시 연수구 갯벌로 143 -
37370,EG,KOSDAQ,벤처기업부,,32001,기초 화학물질 제조업,12,,"8,624,972","1,000","8,624,972,000",원(KRW),박지만,041 -750 -7777,전라남도 광양시 명당3길 118 -
278990,EMB,KONEX,일반기업부,,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",12,교보증권,"4,836,831",500,"2,418,415,500",원(KRW),홍지태,031-463-8983,경기도 안양시 만안구 전파로 24번길 934층 
365550,ESR켄달스퀘어리츠,KOSPI,,,126801,부동산 임대 및 공급업,5,,"213,089,000","1,000","213,089,000,000",원(KRW),조주현,02-6205-0467,"서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층 "
50120,ES큐브,KOSDAQ,중견기업부,,74604,생활용품 도매업,12,,"13,564,086","5,000","69,092,013,500",원(KRW),우인선,02-3446-4875,"서울특별시 강남구 강남대로 556 12층(논현동, 논현빌딩) "
383220,F&F,KOSPI,,,31401,봉제의복 제조업,12,,"38,307,075",100,"3,830,707,500",원(KRW),김창수,02-520-0027,서울특별시 강남구 테헤란로8길 8 - 
7700,F&F홀딩스,KOSPI,,,116409,기타 금융업,12,,"39,114,367",500,"19,557,183,500",원(KRW),박의헌,02-520-0001,서울특별시 강남구 테헤란로8길 8 센터포인트강남 
214270,FSN,KOSDAQ,중견기업부,,105802,소프트웨어 개발 및 공급업,12,,"33,250,463",500,"16,625,231,500",원(KRW),"서정교, 박태순(공동대표이사)",02-541-3126,서울특별시 강남구 언주로 637 싸이칸타워 
130500,GH신소재,KOSDAQ,우량기업부,,31309,기타 섬유제품 제조업,12,,"14,545,052",500,"7,272,526,000",원(KRW),우희구,054-460-8100,경상북도 구미시  1공단로4길 141-54 
114090,GKL,KOSPI,,,189102,유원지 및 기타 오락관련 서비스업,12,,"61,855,670",500,"30,927,835,000",원(KRW),윤두현,02-6421-6000,서울특별시 강남구 삼성로 610 삼성동
900290,GRT,KOSDAQ,외국기업(소속부없음),,116409,기타 금융업,6,,"80,850,000",무액면,"1,052,929,473",중국위안(CNY),주영남,85236458129,"Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong "
78930,GS,KOSPI,,,116409,기타 금융업,12,,"92,915,378","5,000","473,501,020,000",원(KRW),"허태수, 홍순기 (각자 대표이사)",-,서울특별시 강남구 논현로 508 
83450,GST,KOSDAQ,우량기업부,,32902,특수 목적용 기계 제조업,12,,"18,430,000",500,"9,309,130,000",원(KRW),"석종욱, 문승보(각자대표)",031-371-2200,경기도 화성시 동탄면 동탄산단6길 15-13 
6360,GS건설,KOSPI,,,64101,건물 건설업,12,,"85,581,490","5,000","427,907,450,000",원(KRW),"허창수, 허윤홍(각자 대표이사)",02-2154-1112,서울특별시 종로구 종로 33 그랑서울
1250,GS글로벌,KOSPI,,,74608,상품 종합 도매업,12,,"82,533,764","2,500","206,334,410,000",원(KRW),이영환,02-2005-5300,서울특별시 강남구 논현로 508 GS강남타워 
7070,GS리테일,KOSPI,,,74701,종합 소매업,12,,"83,607,415","1,000","83,607,415,000",원(KRW),허서홍,02-2005-1114,서울특별시 강남구 논현로 508GS타워(역삼동 679) 
499790,GS피앤엘,KOSPI,,,116409,기타 금융업,12,,"19,830,841","1,000","19,830,841,000",원(KRW),김원식,02-2006-3801,"서울특별시 강남구 논현로 508, GS타워 "
297890,HB솔루션,KOSDAQ,우량기업부,,32902,특수 목적용 기계 제조업,12,,"73,140,914",500,"36,764,134,000",원(KRW),이재원,041-549-8850,충청남도 아산시 음봉면 연암율금로 77-26 
440290,HB인베스트먼트,KOSDAQ,중견기업부,,116409,기타 금융업,12,,"27,107,010",500,"13,553,505,000",원(KRW),황유선,02-3448-5620,서울특별시 강남구 언주로 819 
78150,HB테크놀러지,KOSDAQ,우량기업부,,32902,특수 목적용 기계 제조업,12,,"92,715,916",500,"46,357,958,000",원(KRW),문성준,031-332-0060,충청남도 아산시 음봉면 산동로 87 
12630,HDC,KOSPI,,,116409,기타 금융업,12,,"59,741,721","5,000","298,708,605,000",원(KRW),"정몽규, 김회언 (각자 대표이사)",02-2008-8607,서울특별시 종로구 경희궁1가길 9 -
39570,HDC랩스,KOSPI,,,64203,전기 및 통신 공사업,12,,"25,957,601",500,"12,978,800,500",원(KRW),김성은,02-1899-1909,서울특별시 서초구 효령로 346 서초 HDC랩스 타워 
89470,HDC현대EP,KOSPI,,,32004,기타 화학제품 제조업,12,,"31,900,000",500,"17,200,000,000",원(KRW),정 원 섭,041-350-0500,충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사
294870,HDC현대산업개발,KOSPI,,,64101,건물 건설업,12,,"65,907,330","5,000","329,536,650,000",원(KRW),"정경구, 조태제(각자 대표이사)",02-2008-9114,서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층 
9540,HD한국조선해양,KOSPI,,,116409,기타 금융업,12,,"70,773,116","5,000","353,865,580,000",원(KRW),"정기선, 김성준 (각자 대표이사)",02-1811-9114,"경기도 성남시 분당구 분당수서로 477 정자동, HD현대그룹 글로벌 R&D센터"
267250,HD현대,KOSPI,,,116409,기타 금융업,12,,"78,993,085","1,000","81,433,085,000",원(KRW),"권오갑, 정기선", 02-1811-6114,경기도 성남시 분당구 분당수서로 477 HD현대 글로벌 R&D센터
267270,HD현대건설기계,KOSPI,,,32901,일반 목적용 기계 제조업,12,,"17,713,586","5,000","94,235,480,000",원(KRW),최철곤,02-479-7880,"경기도 성남시 분당구 분당수서로 477 11층(정자동, HD현대그룹 글로벌 R&D센터)"
443060,HD현대마린솔루션,KOSPI,,,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업",12,,"44,829,210",500,"22,414,605,000",원(KRW),이기동,02-479-9500,경기도 성남시 분당구 분당수서로 477 경기도 성남시 분당구 분당수서로 477
71970,HD현대마린엔진,KOSPI,,,32901,일반 목적용 기계 제조업,12,,"33,921,495","2,500","84,803,737,500",원(KRW),강영,055-280-0700,경상남도 창원시 성산구 적현로 222 STX중공업 
10620,HD현대미포,KOSPI,,,33101,선박 및 보트 건조업,12,,"39,942,149","5,000","199,710,745,000",원(KRW),김형관,052-250-3114,울산광역시 동구 방어진순환도로 100 (주)현대미포조선
322000,HD현대에너지솔루션,KOSPI,,,32601,반도체 제조업,12,,"11,200,000","5,000","56,000,000,000",원(KRW),박종환,1522-5001,"경기도 성남시 분당구 분당수서로 477 9층(정자동, HD현대그룹 글로벌 R&D센터)"
42670,HD현대인프라코어,KOSPI,,,32902,특수 목적용 기계 제조업,12,,"192,655,867","1,000","199,603,453,000",원(KRW),"조영철, 오승현",032-211-1114,인천광역시 동구  인중로 489(화수동) 
267260,HD현대일렉트릭,KOSPI,,,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",12,,"36,047,135","5,000","180,235,675,000",원(KRW),김영기,02-746-7530,경기도 성남시 분당구 분당수서로 477 HD현대 글로벌 R&D센터
329180,HD현대중공업,KOSPI,,,33101,선박 및 보트 건조업,12,,"88,773,116","5,000","443,865,580,000",원(KRW),"이상균, 노진율 (각자 대표이사)",052-202-2114,울산광역시 동구 방어진순환도로 1000 
97230,HJ중공업,KOSPI,,,64102,토목 건설업,12,,"83,274,281","5,000","416,371,405,000",원(KRW),"김완석, 유상철",051-410-3114,부산광역시 영도구  태종로 233 한진중공업
195940,HK이노엔,KOSDAQ,우량기업부,,32102,의약품 제조업,12,,"28,329,891",500,"14,452,249,500",원(KRW),곽달원,02-6477-0000,충청북도 청주시 흥덕구 오송읍 오송생명2로 239 에이치케이이노엔(주) 오송공장 
14790,HL D&I,KOSPI,,,64102,토목 건설업,12,,"37,858,601","5,000","194,374,710,000",원(KRW),홍석화,02-3434-5114,서울특별시 송파구 올림픽로 289 
28300,HLB,KOSDAQ,중견기업부,,32103,의료용품 및 기타 의약 관련제품 제조업,12,,"131,425,086",500,"65,712,543,000",원(KRW),"진양곤, 백윤기 (각자대표)",02-3453-4414,세종특별자치시  연동면 명학산단서로 10-5 -
3580,HLB글로벌,KOSPI,,,74701,종합 소매업,12,,"50,218,121",500,"25,109,060,500",원(KRW),김광재,02-6925-4450,강원도 정선군 사북읍 소금강로 3583-1 1층 101호(하이시티1)
278650,HLB바이오스텝,KOSDAQ,중견기업부,,137001,자연과학 및 공학 연구개발업,12,,"87,005,539",100,"8,700,553,900",원(KRW),백성진,032-833-8899,인천광역시 연수구 아카데미로79번길 38 - 
343090,HLB사이언스,KONEX,일반기업부,,32103,의료용품 및 기타 의약 관련제품 제조업,12,신한증권,"17,841,811",500,"8,920,905,500",원(KRW),윤종선,02-6925-0379,서울특별시 송파구 법원로 128씨동 1314호 
67630,HLB생명과학,KOSDAQ,투자주의환기종목(소속부없음),,32103,의료용품 및 기타 의약 관련제품 제조업,12,,"121,896,409",500,"60,948,204,500",원(KRW),"남상우, 한용해(각자대표)",02-2627-6700,"경기도 화성시 동탄첨단산업1로 51-9 8층(영천동,엠타워지식산업센터)"
24850,HLB이노베이션,KOSDAQ,중견기업부,,32602,전자부품 제조업,12,,"144,304,123",500,"72,152,061,500",원(KRW),"김홍철, BRYANBYONGJIN.KIM(각자 대표)",031-522-3700,경기도 화성시 향남읍 발안공단로4길 16 구문천리 928
187420,HLB제넥스,KOSDAQ,기술성장기업부,기술성장기업,32101,기초 의약물질 제조업,12,,"29,135,882",500,"14,567,941,000",원(KRW),"김의중, 김도연 (각자 대표이사)",042-862-4483,대전광역시 유성구 테크노1로 65(관평동) 
47920,HLB제약,KOSDAQ,기술성장기업부,기술성장기업,137001,자연과학 및 공학 연구개발업,12,,"31,814,994",500,"15,907,497,000",원(KRW),박재형,02-411-1514,경기도 남양주시 경강로 27 
115450,HLB테라퓨틱스,KOSDAQ,중견기업부,,74607,기타 전문 도매업,12,,"84,245,931",500,"42,122,965,500",원(KRW),안기홍,031-786-7800,경기도 성남시 분당구  정자일로 248 2201 
46210,HLB파나진,KOSDAQ,벤처기업부,,32103,의료용품 및 기타 의약 관련제품 제조업,12,,"43,657,588",500,"21,828,794,000",원(KRW),장인근,042-861-9295,대전광역시 유성구  테크노10로 54 
196300,HLB펩,KOSDAQ,관리종목(소속부없음),,32101,기초 의약물질 제조업,12,,"9,293,398",500,"4,646,699,000",원(KRW),"김재일, 심경재 (각자 대표)",062-714-1166,광주광역시 북구 첨단과기로 333 광주테크노파크 시험생산동 206호 &nbsp
204320,HL만도,KOSPI,,,33003,자동차 신품 부품 제조업,12,,"46,957,120","1,000","46,957,120,000",원(KRW),"조성현, 김현욱 (각자대표)",031-680-6114,경기도 평택시 포승읍 하만호길 32 
60980,HL홀딩스,KOSPI,,,116409,기타 금융업,12,,"9,403,877","5,000","55,086,180,000",원(KRW),"김광헌, 김준범",02-3434-5133,경기도 용인시 기흥구 기흥단지로 46 -
11200,HMM,KOSPI,,,85001,해상 운송업,12,,"1,025,039,496","5,000","5,125,197,480,000",원(KRW),최원혁,02-3706-5114,"서울특별시 영등포구 여의대로 108 (여의도동, 파크원 타워1)"
403870,HPSP,KOSDAQ,우량기업부,,32902,특수 목적용 기계 제조업,12,,"83,498,568",500,"41,749,284,000",원(KRW),김용운,031-227-9898,경기도 화성시 삼성1로1길 26 석우동
36640,HRS,KOSDAQ,우량기업부,,32002,합성고무 및 플라스틱 물질 제조업,12,,"16,354,800",500,"8,177,400,000",원(KRW),김진성,02  -780 -6156,경기도 평택시  팽성읍 추팔산단2길 7 
35000,HS애드,KOSPI,,,137103,광고업,12,,"16,567,409","1,000","17,571,493,000",원(KRW),박애리,02-705-2130,서울특별시 마포구  마포대로 155 LG마포B/D15F
2460,HS화성,KOSPI,,,64101,건물 건설업,12,,"10,150,000","5,000","62,254,000,000",원(KRW),"이종원,임기영",053-767-2111,대구광역시 수성구  동대구로 111 
487570,HS효성,KOSPI,,,116409,기타 금융업,12,,"3,725,927","5,000","18,629,635,000",원(KRW),"조현상, 안성훈",02-707-6800,서울특별시 마포구 마포대로 119 (공덕동)
298050,HS효성첨단소재,KOSPI,,,32005,화학섬유 제조업,12,,"4,479,948","5,000","22,399,740,000",원(KRW),"임진달, 성낙양(각자 대표이사)",02-707-7000,서울특별시 마포구 마포대로 119 효성빌딩 
439730,IBKS제20호스팩,KOSDAQ,관리종목(소속부없음),,116601,금융 지원 서비스업,12,,"4,310,000",100,"431,000,000",원(KRW),최규원,02-6915-5797,"서울특별시 영등포구 국제금융로6길 11(여의도동, 삼덕빌딩) "
442770,IBKS제21호스팩,KOSDAQ,SPAC(소속부없음),,116601,금융 지원 서비스업,12,,"4,210,000",100,"421,000,000",원(KRW),김태우,02-6915-5356,"서울특별시 영등포구 국제금융로6길 11(여의도동, 삼덕빌딩) "
448760,IBKS제22호스팩,KOSDAQ,SPAC(소속부없음),,116601,금융 지원 서비스업,12,,"4,430,000",100,"443,000,000",원(KRW),윤별수,02-6915-5334,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 
467930,IBKS제23호스팩,KOSDAQ,SPAC(소속부없음),,116601,금융 지원 서비스업,12,,"4,230,000",100,"423,000,000",원(KRW),최상규,02-6915-5356,서울특별시 영등포구 국제금융로6길 11 
469480,IBKS제24호스팩,KOSDAQ,SPAC(소속부없음),,116601,금융 지원 서비스업,12,,"4,230,000",100,"423,000,000",원(KRW),김강민,02-6915-5583,서울특별시 영등포구 국제금융로6길 11 &nbsp
3560,IHQ,KOSPI,,,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,,"6,010,174",500,"3,005,087,000",원(KRW),오준,02-6005-6000,서울특별시 강서구 강서로 501-8 6층 
15360,INVENI,KOSPI,,,137105,회사 본부 및 경영 컨설팅 서비스업,12,,"6,000,000","5,000","30,000,000,000",원(KRW),"구본혁, 이창우",02-3390-3010,서울특별시 용산구 한강대로 92 LS 용산타워 
95340,ISC,KOSDAQ,우량기업부,,74605,기계장비 및 관련 물품 도매업,12,,"21,197,058",500,"10,598,529,000",원(KRW),"김정렬, 유지한(공동 대표이사)",031-777-7675,경기도 성남시 수정구 금토로40번길 26 -
175330,JB금융지주,KOSPI,,,116409,기타 금융업,12,,"193,907,972","5,000","984,914,470,000",원(KRW),김기홍,02-2128-2714,전라북도 전주시 덕진구  백제대로 566 
950170,JTC,KOSDAQ,외국기업(소속부없음),,74701,종합 소매업,2,,"51,746,348",무액면,0,일본엔(JPY),"구철모, 야마모토 후미야",02-785-9101,(160-0017) 도쿄도 신주쿠구 사몬쵸 2-6 와코빌딩 6F - 
234080,JW생명과학,KOSPI,,,32102,의약품 제조업,12,,"15,834,554","2,500","39,586,385,000",원(KRW),노정열,041-351-7600,충청남도 당진시 송악읍 한진1길 28 
67290,JW신약,KOSDAQ,중견기업부,,32102,의약품 제조업,12,,"53,376,126",500,"26,688,063,000",원(KRW),김용관,02-840-6111,경기도 과천시 과천대로7길 38 - 
1060,JW중외제약,KOSPI,,,32102,의약품 제조업,12,,"23,285,930","2,500","59,594,635,000",원(KRW),대표이사 신영섭,02-840-6777,경기도 과천시 과천대로7길 38 - 
96760,JW홀딩스,KOSPI,,,116409,기타 금융업,12,,"73,924,942",500,"36,962,471,000",원(KRW),"이경하, 차성남",02-840-6777,경기도 과천시 과천대로7길 38 - 
35900,JYP Ent.,KOSDAQ,우량기업부,,105902,오디오물 출판 및 원판 녹음업,12,,"35,532,492",500,"17,960,951,500",원(KRW),정욱,02-2225-8100,"서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) "
318000,KBG,KOSDAQ,벤처기업부,,32002,합성고무 및 플라스틱 물질 제조업,12,,"8,740,223",200,"1,748,044,600",원(KRW),부삼열,041-523-6201,충청남도 천안시 동남구 성남면 대흥신덕길 84-19 
